Date,Oil price shock(US),Iran(US),Nuclear War(US),fire sales(US),uncertainty(US),financial uncertainty(US),financial crisis(US),covid(US),oil crash(Iran),recession(Iran),uncertainty(Iran),financial crisis(Iran),covid(Iran),Iran nuclear(Worldwide),oil supply(Worldwide),oil demand(Worldwide),renewables(Worldwide),construction(Worldwide),Trump Iran(Worldwide),Trump Oil(Worldwide)
2017-02-05,0,3,14,22,73,20,37,1,0,0,49,0,0,3,64,42,65,92,3,41
2017-02-12,0,2,15,16,73,40,37,0,0,35,37,0,0,2,52,36,59,90,1,41
2017-02-19,68,2,14,19,61,40,30,0,0,37,0,0,0,2,62,35,64,92,1,30
2017-02-26,65,2,12,27,70,38,39,1,0,0,71,11,0,2,54,55,58,98,1,26
2017-03-05,0,2,15,27,67,29,38,1,0,0,20,0,0,1,58,41,66,97,1,25
2017-03-12,0,1,15,28,52,39,32,1,0,0,44,8,0,1,57,39,58,93,1,23
2017-03-19,0,2,15,22,52,20,42,1,0,0,53,9,0,1,66,37,59,95,1,28
2017-03-26,0,2,15,34,62,20,39,1,0,0,36,0,0,2,53,34,65,96,1,22
2017-04-02,34,2,28,31,53,0,43,0,0,39,31,0,0,2,54,37,61,95,1,25
2017-04-09,0,2,70,32,59,21,50,1,0,0,87,7,0,2,58,48,57,90,1,20
2017-04-16,0,2,70,26,60,30,41,0,0,37,39,0,0,3,59,31,54,93,1,22
2017-04-23,0,2,45,23,58,20,55,1,0,0,40,0,0,3,52,37,60,94,1,19
2017-04-30,0,2,34,37,59,50,49,1,0,0,50,0,0,3,54,43,63,93,1,18
2017-05-07,0,2,25,21,45,31,43,1,0,39,21,0,0,1,57,42,65,94,1,18
2017-05-14,37,2,18,25,35,22,30,0,0,41,44,0,0,2,49,34,62,93,1,20
2017-05-21,0,2,17,31,33,22,27,1,0,40,21,8,0,2,48,33,57,93,2,30
2017-05-28,38,1,13,16,37,0,26,1,0,39,42,0,0,1,50,27,51,88,1,27
2017-06-04,0,2,11,34,38,22,31,1,0,40,64,0,0,1,57,31,62,90,1,21
2017-06-11,37,2,9,21,30,0,21,1,0,0,51,0,0,1,49,31,57,92,1,15
2017-06-18,0,1,8,28,36,0,24,1,0,0,38,0,0,1,52,43,55,93,1,17
2017-06-25,0,1,8,31,32,23,31,1,0,0,34,8,0,1,47,28,52,87,1,18
2017-07-02,40,1,13,34,28,23,30,1,0,0,43,0,0,1,52,22,57,84,1,18
2017-07-09,0,1,8,34,32,33,27,1,0,0,43,0,0,1,50,27,51,93,1,18
2017-07-16,0,1,8,25,29,22,21,0,0,41,43,8,0,2,46,35,41,91,1,12
2017-07-23,74,1,14,26,33,22,26,0,0,0,73,0,0,1,48,33,48,93,1,15
2017-07-30,0,1,14,25,30,21,23,1,0,0,53,0,0,1,48,34,58,90,1,16
2017-08-06,0,1,100,35,30,21,25,1,0,0,20,0,0,2,44,28,53,91,1,15
